Item,Year,Sales,Sales Last Year,Sales Growth %
Aloe Vera,2010,27,,
Aloe Vera,2011,31,27.0,14.8
Aloe Vera,2012,99,31.0,219.4
Aloe Vera,2013,10,99.0,-89.9
Aloe Vera,2014,60,10.0,500.0
Aloe Vera,2015,31,60.0,-48.3
Aloe Vera,2016,90,31.0,190.3
Aloe Vera,2017,87,90.0,-3.3
Aloe Vera,2018,30,87.0,-65.5
Aloe Vera,2019,43,30.0,43.3
Apple,2010,25,,
Apple,2011,75,25.0,200.0
Apple,2012,62,75.0,-17.3
Apple,2013,96,62.0,54.8
Apple,2014,39,96.0,-59.4
Apple,2015,90,39.0,130.8
Apple,2016,41,90.0,-54.4
Apple,2017,71,41.0,73.2
Apple,2018,59,71.0,-16.9
Apple,2019,41,59.0,-30.5
Asparagus,2010,65,,
Asparagus,2011,45,65.0,-30.8
Asparagus,2012,45,45.0,0.0
Asparagus,2013,46,45.0,2.2
Asparagus,2014,80,46.0,73.9
Asparagus,2015,95,80.0,18.8
Asparagus,2016,31,95.0,-67.4
Asparagus,2017,82,31.0,164.5
Asparagus,2018,85,82.0,3.7
Asparagus,2019,46,85.0,-45.9
Avocados,2010,45,,
Avocados,2011,26,45.0,-42.2
Avocados,2012,53,26.0,103.8
Avocados,2013,41,53.0,-22.6
Avocados,2014,42,41.0,2.4
Avocados,2015,50,42.0,19.0
Avocados,2016,63,50.0,26.0
Avocados,2017,15,63.0,-76.2
Avocados,2018,71,15.0,373.3
Avocados,2019,61,71.0,-14.1
Blueberries,2010,35,,
Blueberries,2011,64,35.0,82.9
Blueberries,2012,20,64.0,-68.8
Blueberries,2013,66,20.0,230.0
Blueberries,2014,19,66.0,-71.2
Blueberries,2015,48,19.0,152.6
Blueberries,2016,87,48.0,81.2
Blueberries,2017,76,87.0,-12.6
Blueberries,2018,10,76.0,-86.8
Blueberries,2019,84,10.0,740.0
Brinjal,2010,34,,
Brinjal,2011,47,34.0,38.2
Brinjal,2012,81,47.0,72.3
Brinjal,2013,12,81.0,-85.2
Brinjal,2014,69,12.0,475.0
Brinjal,2015,98,69.0,42.0
Brinjal,2016,69,98.0,-29.6
Brinjal,2017,25,69.0,-63.8
Brinjal,2018,45,25.0,80.0
Brinjal,2019,76,45.0,68.9
Brocolli,2010,14,,
Brocolli,2011,76,14.0,442.9
Brocolli,2012,74,76.0,-2.6
Brocolli,2013,22,74.0,-70.3
Brocolli,2014,21,22.0,-4.5
Brocolli,2015,32,21.0,52.4
Brocolli,2016,17,32.0,-46.9
Brocolli,2017,45,17.0,164.7
Brocolli,2018,44,45.0,-2.2
Brocolli,2019,47,44.0,6.8
Carrot,2010,59,,
Carrot,2011,41,59.0,-30.5
Carrot,2012,90,41.0,119.5
Carrot,2013,11,90.0,-87.8
Carrot,2014,10,11.0,-9.1
Carrot,2015,12,10.0,20.0
Carrot,2016,29,12.0,141.7
Carrot,2017,46,29.0,58.6
Carrot,2018,14,46.0,-69.6
Carrot,2019,97,14.0,592.9
Cauliflower,2010,61,,
